Category,Task Name
Initial Listing & Agency,Signed Exclusive Listing Agreement
Initial Listing & Agency,Agency Disclosure Statement
Initial Listing & Agency,Seller Disclosure (Property Condition)
Initial Listing & Agency,Lead-Based Paint Disclosure
Initial Listing & Agency,MLS Input Sheet Verification
Marketing & Property Access,Professional Photos & Video
Marketing & Property Access,Yard Signage Installation
Marketing & Property Access,Electronic Lockbox Setup
Marketing & Property Access,Social Media Blast
Marketing & Property Access,Virtual Tour Upload
Offer & Contract Management,Executed Purchase & Sale Agreement
Offer & Contract Management,Earnest Money Receipt
Offer & Contract Management,Pre-Approval Letter Review
Offer & Contract Management,Financing Addendum
Closing & Post-Close,Final Walkthrough
Closing & Post-Close,Title Review
Closing & Post-Close,Closing Document Signing
Closing & Post-Close,Key Handoff
